country,mean_gdp
Afghanistan,802.674598425
Albania,3255.3666326666666
Algeria,4426.0259731666665
Angola,3607.1005288333336
Argentina,8955.553782666666
Australia,19980.595634166668
Austria,20411.916279333334
Bahrain,18077.663945416665
Bangladesh,817.5588182166666
Belgium,19900.758071666667
Benin,1155.3951073833334
Bolivia,2961.2287536666668
Bosnia and Herzegovina,3484.7790694
Botswana,5031.503557166667
Brazil,5829.31665275
Bulgaria,6384.055172
Burkina Faso,843.9906647166666
Burundi,471.6629897
Cambodia,675.3678242583334
Cameroon,1774.6342223333334
Canada,22410.746339999998
Central African Republic,958.7846969833333
Chad,1165.4536742166667
Chile,6703.289147083333
China,1488.3076940083333
Colombia,4195.342919916667
Comoros,1314.3803386833333
"Congo, Dem. Rep.",648.34264595
"Congo, Rep.",3312.7882151666668
Costa Rica,5448.610779416666
Cote d'Ivoire,1912.82538225
Croatia,9331.712345916667
Cuba,6283.258678333334
Czech Republic,13920.011379
Denmark,21671.824887916668
Djibouti,2697.8331621666666
Dominican Republic,2844.8564049166666
Ecuador,5733.62476675
Egypt,3074.0307314166666
El Salvador,4431.846597333333
Equatorial Guinea,2469.1666809333333
Eritrea,541.0025066666667
Ethiopia,509.1151555
Finland,17473.72266733333
France,18833.570327083333
Gabon,11529.865474416667
Gambia,680.1325855583333
Germany,20556.68443275
Ghana,1044.5820461416668
Greece,13969.036832916667
Guatemala,4015.402771416667
Guinea,776.0673046750001
Guinea-Bissau,652.1572081
Haiti,1620.7392895
Honduras,2834.4130831666666
"Hong Kong, China",16228.700864749999
Hungary,10888.175653666667
Iceland,20531.4222725
India,1057.29630685
Indonesia,1741.3653595416667
Iran,7376.5829054999995
Iraq,7811.809116666666
Ireland,15758.60623775
Israel,14160.936434083334
Italy,16245.209006416668
Jamaica,6197.645405
Japan,17750.869984166668
Jordan,3128.1207616666666
Kenya,1200.41571995
"Korea, Dem. Rep.",2591.8525776666665
"Korea, Rep.",8217.318485083333
Kuwait,65332.91047166667
Lebanon,7269.21624125
Lesotho,780.5533931916666
Liberia,604.8141412333333
Libya,12013.57920125
Madagascar,1335.5950270666667
Malawi,575.4472115083333
Malaysia,5406.0381969166665
Mali,673.0930694166667
Mauritania,1356.6710106666667
Mauritius,4768.94222125
Mexico,7724.1126745833335
Mongolia,1692.80461225
Montenegro,7208.06455975
Morocco,2447.9088640833334
Mozambique,542.2783319916666
Myanmar,439.3333333333333
Namibia,3675.5820868333335
Nepal,782.7288220833333
Netherlands,21748.852208166667
New Zealand,17262.622812499998
Nicaragua,3424.6557695
Niger,781.0767981083334
Nigeria,1488.3094291666666
Norway,26747.306554166666
Oman,12138.562227333334
Pakistan,1439.2706890499999
Panama,5754.8271718333335
Paraguay,3239.6067914166665
Peru,5613.84408675
Philippines,2174.771130416667
Poland,8416.55391225
Portugal,11354.091927416666
Puerto Rico,10863.164303416666
Reunion,4898.398390083334
Romania,7300.169973583334
Rwanda,675.6690431416666
Sao Tome and Principe,1382.782001175
Saudi Arabia,20261.743635083334
Senegal,1533.1216945
Serbia,9305.049444083334
Sierra Leone,1072.8194927083332
Singapore,17425.382266666667
Slovak Republic,10415.530689
Slovenia,14074.582109333332
Somalia,1140.7932516583332
South Africa,7247.431074416667
Spain,14029.82647875
Sri Lanka,1854.7311195
Sudan,1835.01042975
Swaziland,3163.35235825
Sweden,19943.126104
Switzerland,27074.334405
Syria,3009.2879806666665
Taiwan,10224.80718075
Tanzania,849.2812710916667
Thailand,3045.966473958333
Togo,1153.8201162916666
Trinidad and Tobago,7866.871946416666
Tunisia,3477.21035075
Turkey,4469.4533796666665
Uganda,810.3837879083333
United Kingdom,19380.472985583332
United States,26261.151346666666
Uruguay,7100.133175666667
Venezuela,10088.516251583333
Vietnam,1017.7126151666666
West Bank and Gaza,3759.99678125
"Yemen, Rep.",1569.2746721416668
Zambia,1358.199409
Zimbabwe,635.8580422916667
